problem_id: 0, opt_obj: 0.17040381838405666, solver_time: 0.025711774826049805, program_status: optimal
problem_id: 1, opt_obj: 0.04366986484255904, solver_time: 0.002769947052001953, program_status: optimal
problem_id: 2, opt_obj: 0.29225553266155657, solver_time: 0.003610849380493164, program_status: optimal
problem_id: 3, opt_obj: 0.16660754123174684, solver_time: 0.0029201507568359375, program_status: optimal
problem_id: 4, opt_obj: 0.10501080968469978, solver_time: 0.0027303695678710938, program_status: optimal
problem_id: 5, opt_obj: 0.30670135211885285, solver_time: 0.0028464794158935547, program_status: optimal
problem_id: 6, opt_obj: 0.07833385497801829, solver_time: 0.0026116371154785156, program_status: optimal
problem_id: 7, opt_obj: 0.11744179479508149, solver_time: 0.006818532943725586, program_status: optimal
problem_id: 8, opt_obj: 0.242376693211304, solver_time: 0.002768993377685547, program_status: optimal
problem_id: 9, opt_obj: 0.0822881114014308, solver_time: 0.0028247833251953125, program_status: optimal
problem_id: 10, opt_obj: 0.1736200763929901, solver_time: 0.005019664764404297, program_status: optimal
problem_id: 11, opt_obj: 0.12467041513225467, solver_time: 0.003038644790649414, program_status: optimal
problem_id: 12, opt_obj: 0.19367850347255172, solver_time: 0.0028228759765625, program_status: optimal
problem_id: 13, opt_obj: 0.23102394498125706, solver_time: 0.0044116973876953125, program_status: optimal
problem_id: 14, opt_obj: 0.17682096159599042, solver_time: 0.003316164016723633, program_status: optimal
problem_id: 15, opt_obj: 0.18099684537330635, solver_time: 0.0048067569732666016, program_status: optimal
problem_id: 16, opt_obj: 0.0581509873397863, solver_time: 0.002355337142944336, program_status: optimal
problem_id: 17, opt_obj: 0.12425061117608038, solver_time: 0.0027379989624023438, program_status: optimal
problem_id: 18, opt_obj: 0.06515234729586154, solver_time: 0.0036814212799072266, program_status: optimal
problem_id: 19, opt_obj: 0.1882224054354765, solver_time: 0.0028429031372070312, program_status: optimal
problem_id: 20, opt_obj: 0.03626042133791998, solver_time: 0.0024166107177734375, program_status: optimal
problem_id: 21, opt_obj: 0.24385725678519066, solver_time: 0.0049130916595458984, program_status: optimal
problem_id: 22, opt_obj: 0.37000492449760713, solver_time: 0.0031576156616210938, program_status: optimal
problem_id: 23, opt_obj: 0.1336872431164693, solver_time: 0.003030538558959961, program_status: optimal
problem_id: 24, opt_obj: 0.20860549175413326, solver_time: 0.0028257369995117188, program_status: optimal
problem_id: 25, opt_obj: 0.29540440861449047, solver_time: 0.004168987274169922, program_status: optimal
